,commentNo,parentCommentNo,modTime,regTime,userName,userIdNo,contents,sympathyCount,antipathyCount,replyCount
1,871049014,871049014,2017-03-21T09:45:14+0900,2017-03-21T09:45:14+0900,lbs7****,4siog,중국 땜에 이게 뭔 난리냐...,9518,90,108
2,871063154,871063154,2017-03-21T09:53:33+0900,2017-03-21T09:53:33+0900,csiz****,34Rpm,중국이랑 전쟁이라도 해서 동북연안에 있는 공장들 모두 파괴시키던가 해야지.진짜 개민폐네,7695,221,69
3,871050534,871050534,2017-03-21T09:46:10+0900,2017-03-21T09:46:10+0900,jink****,2MiYq,빨리 중국한테 얘기좀 해라... 밖에서 숨을 못쉬겠다,7220,68,25
4,871055614,871055614,2017-03-21T09:50:01+0900,2017-03-21T09:50:01+0900,cute****,FUB6,뭐든지 안좋은건 다 세계 최정상을 노리는 한국 만세다,5739,148,29
5,871047724,871047724,2017-03-21T09:44:15+0900,2017-03-21T09:44:15+0900,kjc1****,1HOB0,우와아.. 서울 어케 사냐 ㅠ,4477,57,39
6,871086744,871086744,2017-03-21T10:04:01+0900,2017-03-21T10:04:01+0900,xiph****,1pixy,베이징 보다 대기오염도 높게 나온 이유가... 서해쪽 산둥반도에 몰려있는 중국 공장지대 때문임.. 바람이 불면 위로 베이징쪽으로 가지 않고 한국쪽으로 날라오게 되어있음.. 애초에 그 바람을 염두에 두고 짱깨들이 산둥반도에 대량으로 공장지대 지어둔것임.. 사악한 쓰레기들인데 오히려 지금 지들이 사드로 화내고 있는 어이없는 상황,1798,11,16
7,871077604,871077604,2017-03-21T10:00:04+0900,2017-03-21T10:00:04+0900,ji_s****,V74l,진짜 심각하다 근데 대부분 내 주변에도 대수롭지 않게 생각하는 사람들이 많아서 미세먼지 심할때 애기데리고 외출안한다고 하면 유난떠는걸로 생각한다.정부에서 자꾸 쉬쉬하면서 대수롭지 않은 듯 얘기하니 진짜 저게 얼마나 위험한지를 모르는 듯.,1242,6,18
8,871091144,871091144,2017-03-21T10:05:52+0900,2017-03-21T10:05:52+0900,moon****,4OOcv,진짜 심각함..정말 삶의 질이 너무 떨어짐 운동도 못해. 나들이도 못해 심지어 집 환기도 못해 ㅡㅡ이게 사는거냐,1203,3,12
9,871066044,871066044,2017-03-21T09:55:00+0900,2017-03-21T09:55:00+0900,118g****,1DY7H,중국 공장 다 깨부시고싶네,883,8,3
10,871090724,871090724,2017-03-21T10:05:40+0900,2017-03-21T10:05:40+0900,idea****,3HtFA,"출근하는데 너무 고통스러웠다. 이게 대체 뭐냐. 대체 중국놈 따위가 뭐라고 우리가 이 굴욕과 고난과 고통을 겪으며 살아야 하는거냐? 사드 배치 건으로 저 더러운 짱꼴라의 진면목이 완전히 드러났다. 이제부터 경제 운운 개솔 하는 놈들은 배제하고 강력하게 제재해야 한다. 저놈들만 유해물질을 마음껏 배출하고, 이게 대체 뭐냐? 국제협약이란걸 저놈들에게 들이밀며 하지 말라고 외쳐야 한다. 이놈의 나라는 뻑하면 반미 어쩌고 시위질 하더니 반중시위 하는 놈들은 아무도 없다. 대체 어느나라 사람들이냐?",837,7,7
